 1.00000000000000E+0001  4.23738071504167E+0004  0.00000000000000E+0000  0.00000000000000E+0000  0.00000000000000E+0000
 8.00000000000000E+0000  0.00000000000000E+0000  0.00000000000000E+0000  9.15000100000000E-0004  3.00000000000000E-0001  7.90000000000000E+0001
 1.00000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  1.52500000000000E-0003  3.00000000000000E-0001  1.41000000000000E+0002
 1.10000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  1.83000000000000E-0003  4.00000000000000E-0001  2.35000000000000E+0002
 1.10000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  2.13500000000000E-0003  4.00000000000000E-0001  2.97000000000000E+0002
 1.00000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  2.74500000000000E-0003  4.00000000000000E-0001  4.22000000000000E+0002
 1.00000000000000E+0000  0.00000000000000E+0000  0.00000000000000E+0000  3.35500000000000E-0003  4.00000000000000E-0001  4.85000000000000E+0002
 9.00000000000000E+0000  0.00000000000000E+0000  0.00000000000000E+0000  3.66000000000000E-0003  4.00000000000000E-0001  5.47000000000000E+0002
 1.10000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  4.57500000000000E-0003  4.00000000000000E-0001  6.41000000000000E+0002
 1.20000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  5.18500000000000E-0003  4.00000000000000E-0001  7.50000000000000E+0002
 1.20000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  5.49000000000000E-0003  4.00000000000000E-0001  8.13000000000000E+0002
 1.30000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  6.10000000000000E-0003  4.00000000000000E-0001  8.91000000000000E+0002
 1.30000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  6.71000000000000E-0003  4.00000000000000E-0001  1.00000000000000E+0003
 1.30000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  7.32000000000000E-0003  4.00000000000000E-0001  1.09400000000000E+0003
 1.40000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  7.93000000000000E-0003  4.00000000000000E-0001  1.15700000000000E+0003
 1.50000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  8.23500100000000E-0003  4.00000000000000E-0001  1.21900000000000E+0003
 1.60000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  8.84500000000000E-0003  4.00000000000000E-0001  1.28200000000000E+0003
 1.40000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  8.84500000000000E-0003  4.00000000000000E-0001  1.34400000000000E+0003
 1.50000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  9.76000000000000E-0003  4.00000000000000E-0001  1.43800000000000E+0003
 1.50000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  1.03700000000000E-0002  4.00000000000000E-0001  1.54700000000000E+0003
 1.40000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  1.09800000000000E-0002  4.00000000000000E-0001  1.62500000000000E+0003
 1.50000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  1.12850000000000E-0002  4.00000000000000E-0001  1.68800000000000E+0003
 1.60000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  1.18950000000000E-0002  4.00000000000000E-0001  1.78200000000000E+0003
 1.70000000000000E+0001  0.00000000000000E+0000  0.00000000000000E+0000  1.22000000000000E-0002  4.00000000000000E-0001  1.84400000000000E+0003
